sentence Id,sentence,aspect_category,aspect_term,from,to,polarity,aspect_simplified,model_input,polarity_encoded,model_input_clean,confidence,source
45,"streamly Good ðŸ‘ taste
 hygienic food",SERVICE,N/A,,,positive,SERVICE,"streamly Good ðŸ‘ taste
 hygienic food [ASP] SERVICE",2,streamly good taste hygienic food asp service,0.89523107,pakistani_pseudo
45,"streamly Good ðŸ‘ taste
 hygienic food",DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,"streamly Good ðŸ‘ taste
 hygienic food [ASP] DELIVERY_OVERALL",2,streamly good taste hygienic food asp deliveryoverall,0.966566,pakistani_pseudo
48,The best Beef biryani in da town,FOOD,N/A,,,positive,FOOD,The best Beef biryani in da town [ASP] FOOD,2,the best beef biryani in da town asp food,0.98887664,pakistani_pseudo
48,The best Beef biryani in da town,SERVICE,N/A,,,positive,SERVICE,The best Beef biryani in da town [ASP] SERVICE,2,the best beef biryani in da town asp service,0.96619004,pakistani_pseudo
48,The best Beef biryani in da town,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,The best Beef biryani in da town [ASP] DELIVERY_OVERALL,2,the best beef biryani in da town asp deliveryoverall,0.98965657,pakistani_pseudo
49,very poor part of chicken in side zinger,FOOD,N/A,,,negative,FOOD,very poor part of chicken in side zinger [ASP] FOOD,0,very poor part of chicken in side zinger asp food,0.9741554,pakistani_pseudo
49,very poor part of chicken in side zinger,SERVICE,N/A,,,negative,SERVICE,very poor part of chicken in side zinger [ASP] SERVICE,0,very poor part of chicken in side zinger asp service,0.97486794,pakistani_pseudo
49,very poor part of chicken in side zinger,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,very poor part of chicken in side zinger [ASP] DELIVERY_OVERALL,0,very poor part of chicken in side zinger asp deliveryoverall,0.9725556,pakistani_pseudo
50,"outstanding biryani, the perfect spices, very hot and followed the instructions 10/10",FOOD,N/A,,,positive,FOOD,"outstanding biryani, the perfect spices, very hot and followed the instructions 10/10 [ASP] FOOD",2,outstanding biryani the perfect spices very hot and followed the instructions 1010 asp food,0.9630714,pakistani_pseudo
50,"outstanding biryani, the perfect spices, very hot and followed the instructions 10/10",SERVICE,N/A,,,positive,SERVICE,"outstanding biryani, the perfect spices, very hot and followed the instructions 10/10 [ASP] SERVICE",2,outstanding biryani the perfect spices very hot and followed the instructions 1010 asp service,0.9630536,pakistani_pseudo
50,"outstanding biryani, the perfect spices, very hot and followed the instructions 10/10",DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,"outstanding biryani, the perfect spices, very hot and followed the instructions 10/10 [ASP] DELIVERY_OVERALL",2,outstanding biryani the perfect spices very hot and followed the instructions 1010 asp deliveryoverall,0.95640457,pakistani_pseudo
51,"The broniews were good, moist,",FOOD,N/A,,,positive,FOOD,"The broniews were good, moist, [ASP] FOOD",2,the broniews were good moist asp food,0.7979824,pakistani_pseudo
51,"The broniews were good, moist,",DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,"The broniews were good, moist, [ASP] DELIVERY_OVERALL",2,the broniews were good moist asp deliveryoverall,0.8225901,pakistani_pseudo
52,Fav home chef â¤ï¸,FOOD,N/A,,,positive,FOOD,Fav home chef â¤ï¸ [ASP] FOOD,2,fav home chef asp food,0.9212917,pakistani_pseudo
52,Fav home chef â¤ï¸,SERVICE,N/A,,,positive,SERVICE,Fav home chef â¤ï¸ [ASP] SERVICE,2,fav home chef asp service,0.743084,pakistani_pseudo
52,Fav home chef â¤ï¸,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Fav home chef â¤ï¸ [ASP] DELIVERY_OVERALL,2,fav home chef asp deliveryoverall,0.9272283,pakistani_pseudo
53,Taste was good but packag was worst also the quantity is less:),FOOD,N/A,,,negative,FOOD,Taste was good but packag was worst also the quantity is less:) [ASP] FOOD,0,taste was good but packag was worst also the quantity is less asp food,0.916398,pakistani_pseudo
53,Taste was good but packag was worst also the quantity is less:),SERVICE,N/A,,,negative,SERVICE,Taste was good but packag was worst also the quantity is less:) [ASP] SERVICE,0,taste was good but packag was worst also the quantity is less asp service,0.9305304,pakistani_pseudo
53,Taste was good but packag was worst also the quantity is less:),DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,Taste was good but packag was worst also the quantity is less:) [ASP] DELIVERY_OVERALL,0,taste was good but packag was worst also the quantity is less asp deliveryoverall,0.9098298,pakistani_pseudo
54,Bahtareen,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Bahtareen [ASP] DELIVERY_OVERALL,2,bahtareen asp deliveryoverall,0.7713704,pakistani_pseudo
55,Pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad,FOOD,N/A,,,negative,FOOD,Pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad [ASP] FOOD,0,pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad asp food,0.7882574,pakistani_pseudo
55,Pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad,SERVICE,N/A,,,negative,SERVICE,Pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad [ASP] SERVICE,0,pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad asp service,0.7934529,pakistani_pseudo
55,Pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,Pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad [ASP] DELIVERY_OVERALL,0,pathatic very bad i order jumbo and they give regular and after informing they are not even responding very bad asp deliveryoverall,0.79364073,pakistani_pseudo
56,very tasty,FOOD,N/A,,,positive,FOOD,very tasty [ASP] FOOD,2,very tasty asp food,0.99641067,pakistani_pseudo
56,very tasty,SERVICE,N/A,,,positive,SERVICE,very tasty [ASP] SERVICE,2,very tasty asp service,0.9775529,pakistani_pseudo
56,very tasty,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,very tasty [ASP] DELIVERY_OVERALL,2,very tasty asp deliveryoverall,0.997743,pakistani_pseudo
57,Delivered wrong ordered,FOOD,N/A,,,negative,FOOD,Delivered wrong ordered [ASP] FOOD,0,delivered wrong ordered asp food,0.92812306,pakistani_pseudo
57,Delivered wrong ordered,SERVICE,N/A,,,negative,SERVICE,Delivered wrong ordered [ASP] SERVICE,0,delivered wrong ordered asp service,0.93254304,pakistani_pseudo
57,Delivered wrong ordered,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,Delivered wrong ordered [ASP] DELIVERY_OVERALL,0,delivered wrong ordered asp deliveryoverall,0.93862563,pakistani_pseudo
58,"disappointing
 received incomplete order",FOOD,N/A,,,negative,FOOD,"disappointing
 received incomplete order [ASP] FOOD",0,disappointing received incomplete order asp food,0.88283724,pakistani_pseudo
58,"disappointing
 received incomplete order",SERVICE,N/A,,,negative,SERVICE,"disappointing
 received incomplete order [ASP] SERVICE",0,disappointing received incomplete order asp service,0.9326384,pakistani_pseudo
58,"disappointing
 received incomplete order",DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,"disappointing
 received incomplete order [ASP] DELIVERY_OVERALL",0,disappointing received incomplete order asp deliveryoverall,0.88722926,pakistani_pseudo
59,Excellent Chaat and Gol gappas,FOOD,N/A,,,positive,FOOD,Excellent Chaat and Gol gappas [ASP] FOOD,2,excellent chaat and gol gappas asp food,0.9767436,pakistani_pseudo
59,Excellent Chaat and Gol gappas,SERVICE,N/A,,,positive,SERVICE,Excellent Chaat and Gol gappas [ASP] SERVICE,2,excellent chaat and gol gappas asp service,0.9379103,pakistani_pseudo
59,Excellent Chaat and Gol gappas,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Excellent Chaat and Gol gappas [ASP] DELIVERY_OVERALL,2,excellent chaat and gol gappas asp deliveryoverall,0.9753025,pakistani_pseudo
60,Outstanding taste as always ðŸ¤¤â¤ï¸â¤ï¸â¤ï¸,FOOD,N/A,,,positive,FOOD,Outstanding taste as always ðŸ¤¤â¤ï¸â¤ï¸â¤ï¸ [ASP] FOOD,2,outstanding taste as always asp food,0.986571,pakistani_pseudo
60,Outstanding taste as always ðŸ¤¤â¤ï¸â¤ï¸â¤ï¸,SERVICE,N/A,,,positive,SERVICE,Outstanding taste as always ðŸ¤¤â¤ï¸â¤ï¸â¤ï¸ [ASP] SERVICE,2,outstanding taste as always asp service,0.9220735,pakistani_pseudo
60,Outstanding taste as always ðŸ¤¤â¤ï¸â¤ï¸â¤ï¸,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Outstanding taste as always ðŸ¤¤â¤ï¸â¤ï¸â¤ï¸ [ASP] DELIVERY_OVERALL,2,outstanding taste as always asp deliveryoverall,0.989734,pakistani_pseudo
61,Taste was good but cheese was toomuch in pizza other wise best pizza,FOOD,N/A,,,positive,FOOD,Taste was good but cheese was toomuch in pizza other wise best pizza [ASP] FOOD,2,taste was good but cheese was toomuch in pizza other wise best pizza asp food,0.7273825,pakistani_pseudo
61,Taste was good but cheese was toomuch in pizza other wise best pizza,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Taste was good but cheese was toomuch in pizza other wise best pizza [ASP] DELIVERY_OVERALL,2,taste was good but cheese was toomuch in pizza other wise best pizza asp deliveryoverall,0.75202787,pakistani_pseudo
63,it was very goood,FOOD,N/A,,,positive,FOOD,it was very goood [ASP] FOOD,2,it was very goood asp food,0.8739913,pakistani_pseudo
63,it was very goood,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,it was very goood [ASP] DELIVERY_OVERALL,2,it was very goood asp deliveryoverall,0.88948643,pakistani_pseudo
64,Taste was great ðŸ‘,FOOD,N/A,,,positive,FOOD,Taste was great ðŸ‘ [ASP] FOOD,2,taste was great asp food,0.9961184,pakistani_pseudo
64,Taste was great ðŸ‘,SERVICE,N/A,,,positive,SERVICE,Taste was great ðŸ‘ [ASP] SERVICE,2,taste was great asp service,0.98198205,pakistani_pseudo
64,Taste was great ðŸ‘,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Taste was great ðŸ‘ [ASP] DELIVERY_OVERALL,2,taste was great asp deliveryoverall,0.9967565,pakistani_pseudo
65,very bad fries,FOOD,N/A,,,positive,FOOD,very bad fries [ASP] FOOD,2,very bad fries asp food,0.7329128,pakistani_pseudo
65,very bad fries,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,very bad fries [ASP] DELIVERY_OVERALL,2,very bad fries asp deliveryoverall,0.7461032,pakistani_pseudo
66,taste was good very similar to kfc,FOOD,N/A,,,positive,FOOD,taste was good very similar to kfc [ASP] FOOD,2,taste was good very similar to kfc asp food,0.9110732,pakistani_pseudo
66,taste was good very similar to kfc,SERVICE,N/A,,,positive,SERVICE,taste was good very similar to kfc [ASP] SERVICE,2,taste was good very similar to kfc asp service,0.8008285,pakistani_pseudo
66,taste was good very similar to kfc,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,taste was good very similar to kfc [ASP] DELIVERY_OVERALL,2,taste was good very similar to kfc asp deliveryoverall,0.90566826,pakistani_pseudo
67,very tasty ðŸ˜‹,FOOD,N/A,,,positive,FOOD,very tasty ðŸ˜‹ [ASP] FOOD,2,very tasty asp food,0.99641067,pakistani_pseudo
67,very tasty ðŸ˜‹,SERVICE,N/A,,,positive,SERVICE,very tasty ðŸ˜‹ [ASP] SERVICE,2,very tasty asp service,0.9775529,pakistani_pseudo
67,very tasty ðŸ˜‹,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,very tasty ðŸ˜‹ [ASP] DELIVERY_OVERALL,2,very tasty asp deliveryoverall,0.997743,pakistani_pseudo
68,not good,SERVICE,N/A,,,neutral,SERVICE,not good [ASP] SERVICE,1,not good asp service,0.8201511,pakistani_pseudo
69,unacceptable delay,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,unacceptable delay [ASP] DELIVERY_OVERALL,2,unacceptable delay asp deliveryoverall,0.7309506,pakistani_pseudo
70,so delicious momoes always just little raw from outside,FOOD,N/A,,,negative,FOOD,so delicious momoes always just little raw from outside [ASP] FOOD,0,so delicious momoes always just little raw from outside asp food,0.7499072,pakistani_pseudo
70,so delicious momoes always just little raw from outside,SERVICE,N/A,,,negative,SERVICE,so delicious momoes always just little raw from outside [ASP] SERVICE,0,so delicious momoes always just little raw from outside asp service,0.70445466,pakistani_pseudo
70,so delicious momoes always just little raw from outside,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,so delicious momoes always just little raw from outside [ASP] DELIVERY_OVERALL,0,so delicious momoes always just little raw from outside asp deliveryoverall,0.77172375,pakistani_pseudo
71,Good,FOOD,N/A,,,positive,FOOD,Good [ASP] FOOD,2,good asp food,0.8116221,pakistani_pseudo
71,Good,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Good [ASP] DELIVERY_OVERALL,2,good asp deliveryoverall,0.9075739,pakistani_pseudo
72,gr8,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,gr8 [ASP] DELIVERY_OVERALL,2,gr8 asp deliveryoverall,0.7713704,pakistani_pseudo
73,the food was not tasty ,FOOD,food,4,8,positive,FOOD,the food was not tasty  [ASP] FOOD,2,the food was not tasty asp food,0.90627456,pakistani_pseudo
73,the food was not tasty ,SERVICE,N/A,,,positive,SERVICE,the food was not tasty  [ASP] SERVICE,2,the food was not tasty asp service,0.70012677,pakistani_pseudo
73,the food was not tasty ,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,the food was not tasty  [ASP] DELIVERY_OVERALL,2,the food was not tasty asp deliveryoverall,0.9190468,pakistani_pseudo
74,nice,FOOD,N/A,,,positive,FOOD,nice [ASP] FOOD,2,nice asp food,0.85894066,pakistani_pseudo
74,nice,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,nice [ASP] DELIVERY_OVERALL,2,nice asp deliveryoverall,0.9205076,pakistani_pseudo
76,In shredded paratha. They add complimentary cheese. As I am a regular customer. Thank you. Good food.,FOOD,food,96,100,positive,FOOD,In shredded paratha. They add complimentary cheese. As I am a regular customer. Thank you. Good food. [ASP] FOOD,2,in shredded paratha they add complimentary cheese as i am a regular customer thank you good food asp food,0.98292035,pakistani_pseudo
76,In shredded paratha. They add complimentary cheese. As I am a regular customer. Thank you. Good food.,SERVICE,N/A,,,positive,SERVICE,In shredded paratha. They add complimentary cheese. As I am a regular customer. Thank you. Good food. [ASP] SERVICE,2,in shredded paratha they add complimentary cheese as i am a regular customer thank you good food asp service,0.9830446,pakistani_pseudo
76,In shredded paratha. They add complimentary cheese. As I am a regular customer. Thank you. Good food.,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,In shredded paratha. They add complimentary cheese. As I am a regular customer. Thank you. Good food. [ASP] DELIVERY_OVERALL,2,in shredded paratha they add complimentary cheese as i am a regular customer thank you good food asp deliveryoverall,0.9826135,pakistani_pseudo
77,wrong order,FOOD,N/A,,,positive,FOOD,wrong order [ASP] FOOD,2,wrong order asp food,0.97342527,pakistani_pseudo
77,wrong order,SERVICE,N/A,,,positive,SERVICE,wrong order [ASP] SERVICE,2,wrong order asp service,0.87347114,pakistani_pseudo
77,wrong order,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,wrong order [ASP] DELIVERY_OVERALL,2,wrong order asp deliveryoverall,0.9797355,pakistani_pseudo
78,"I ordered chatni roll, zinger burger and pizza fries and NONE OF IT WAS GOOD EVERYTHING TASTED SOOO BAD",SERVICE,N/A,,,positive,SERVICE,"I ordered chatni roll, zinger burger and pizza fries and NONE OF IT WAS GOOD EVERYTHING TASTED SOOO BAD [ASP] SERVICE",2,i ordered chatni roll zinger burger and pizza fries and none of it was good everything tasted sooo bad asp service,0.71502274,pakistani_pseudo
79,was almost perfect sajji this time,SERVICE,N/A,,,negative,SERVICE,was almost perfect sajji this time [ASP] SERVICE,0,was almost perfect sajji this time asp service,0.7424886,pakistani_pseudo
80,it's was really yummy taste. but if I wants to order next time for 1 kilo. is it option available where?,FOOD,N/A,,,positive,FOOD,it's was really yummy taste. but if I wants to order next time for 1 kilo. is it option available where? [ASP] FOOD,2,its was really yummy taste but if i wants to order next time for 1 kilo is it option available where asp food,0.9120134,pakistani_pseudo
80,it's was really yummy taste. but if I wants to order next time for 1 kilo. is it option available where?,SERVICE,N/A,,,positive,SERVICE,it's was really yummy taste. but if I wants to order next time for 1 kilo. is it option available where? [ASP] SERVICE,2,its was really yummy taste but if i wants to order next time for 1 kilo is it option available where asp service,0.82635933,pakistani_pseudo
80,it's was really yummy taste. but if I wants to order next time for 1 kilo. is it option available where?,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,it's was really yummy taste. but if I wants to order next time for 1 kilo. is it option available where? [ASP] DELIVERY_OVERALL,2,its was really yummy taste but if i wants to order next time for 1 kilo is it option available where asp deliveryoverall,0.91125757,pakistani_pseudo
81,Yummy yummy yummy. Loved it.,FOOD,N/A,,,positive,FOOD,Yummy yummy yummy. Loved it. [ASP] FOOD,2,yummy yummy yummy loved it asp food,0.9999838,pakistani_pseudo
81,Yummy yummy yummy. Loved it.,SERVICE,N/A,,,positive,SERVICE,Yummy yummy yummy. Loved it. [ASP] SERVICE,2,yummy yummy yummy loved it asp service,0.99997425,pakistani_pseudo
81,Yummy yummy yummy. Loved it.,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Yummy yummy yummy. Loved it. [ASP] DELIVERY_OVERALL,2,yummy yummy yummy loved it asp deliveryoverall,0.99998367,pakistani_pseudo
82,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli.,FOOD,N/A,,,negative,FOOD,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli. [ASP] FOOD,0,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli asp food,0.95433927,pakistani_pseudo
82,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli.,SERVICE,N/A,,,negative,SERVICE,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli. [ASP] SERVICE,0,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli asp service,0.9521827,pakistani_pseudo
82,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli.,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli. [ASP] DELIVERY_OVERALL,0,chicken chilli less cooked and color is as mongolian chicken its not seems chicken chilli asp deliveryoverall,0.9547005,pakistani_pseudo
83,the food was amazing ,FOOD,food,4,8,positive,FOOD,the food was amazing  [ASP] FOOD,2,the food was amazing asp food,0.9957676,pakistani_pseudo
83,the food was amazing ,SERVICE,N/A,,,positive,SERVICE,the food was amazing  [ASP] SERVICE,2,the food was amazing asp service,0.97556657,pakistani_pseudo
83,the food was amazing ,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,the food was amazing  [ASP] DELIVERY_OVERALL,2,the food was amazing asp deliveryoverall,0.9967475,pakistani_pseudo
84,"Fantastic kachoris, fantastic aloo, fantastic samosa chaat",FOOD,N/A,,,positive,FOOD,"Fantastic kachoris, fantastic aloo, fantastic samosa chaat [ASP] FOOD",2,fantastic kachoris fantastic aloo fantastic samosa chaat asp food,0.99996436,pakistani_pseudo
84,"Fantastic kachoris, fantastic aloo, fantastic samosa chaat",SERVICE,N/A,,,positive,SERVICE,"Fantastic kachoris, fantastic aloo, fantastic samosa chaat [ASP] SERVICE",2,fantastic kachoris fantastic aloo fantastic samosa chaat asp service,0.99995375,pakistani_pseudo
84,"Fantastic kachoris, fantastic aloo, fantastic samosa chaat",DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,"Fantastic kachoris, fantastic aloo, fantastic samosa chaat [ASP] DELIVERY_OVERALL",2,fantastic kachoris fantastic aloo fantastic samosa chaat asp deliveryoverall,0.99996006,pakistani_pseudo
85,"Fries thandi thee
 crispy Roll average tha
 Zinger ke jitne price hain wesa nhi tha per taste sahi hy",FOOD,N/A,,,neutral,FOOD,"Fries thandi thee
 crispy Roll average tha
 Zinger ke jitne price hain wesa nhi tha per taste sahi hy [ASP] FOOD",1,fries thandi thee crispy roll average tha zinger ke jitne price hain wesa nhi tha per taste sahi hy asp food,0.8134648,pakistani_pseudo
85,"Fries thandi thee
 crispy Roll average tha
 Zinger ke jitne price hain wesa nhi tha per taste sahi hy",SERVICE,N/A,,,neutral,SERVICE,"Fries thandi thee
 crispy Roll average tha
 Zinger ke jitne price hain wesa nhi tha per taste sahi hy [ASP] SERVICE",1,fries thandi thee crispy roll average tha zinger ke jitne price hain wesa nhi tha per taste sahi hy asp service,0.9187835,pakistani_pseudo
85,"Fries thandi thee
 crispy Roll average tha
 Zinger ke jitne price hain wesa nhi tha per taste sahi hy",DELIVERY_OVERALL,N/A,,,neutral,DELIVERY_OVERALL,"Fries thandi thee
 crispy Roll average tha
 Zinger ke jitne price hain wesa nhi tha per taste sahi hy [ASP] DELIVERY_OVERALL",1,fries thandi thee crispy roll average tha zinger ke jitne price hain wesa nhi tha per taste sahi hy asp deliveryoverall,0.76743156,pakistani_pseudo
86,1st time order Rabri falooda and Pineapple shake taste is very good ðŸ‘Œ,FOOD,N/A,,,positive,FOOD,1st time order Rabri falooda and Pineapple shake taste is very good ðŸ‘Œ [ASP] FOOD,2,1st time order rabri falooda and pineapple shake taste is very good asp food,0.98324955,pakistani_pseudo
86,1st time order Rabri falooda and Pineapple shake taste is very good ðŸ‘Œ,SERVICE,N/A,,,positive,SERVICE,1st time order Rabri falooda and Pineapple shake taste is very good ðŸ‘Œ [ASP] SERVICE,2,1st time order rabri falooda and pineapple shake taste is very good asp service,0.9698258,pakistani_pseudo
86,1st time order Rabri falooda and Pineapple shake taste is very good ðŸ‘Œ,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,1st time order Rabri falooda and Pineapple shake taste is very good ðŸ‘Œ [ASP] DELIVERY_OVERALL,2,1st time order rabri falooda and pineapple shake taste is very good asp deliveryoverall,0.9839302,pakistani_pseudo
87,biryani was good.,FOOD,N/A,,,positive,FOOD,biryani was good. [ASP] FOOD,2,biryani was good asp food,0.8767814,pakistani_pseudo
87,biryani was good.,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,biryani was good. [ASP] DELIVERY_OVERALL,2,biryani was good asp deliveryoverall,0.90965706,pakistani_pseudo
88,zabardast paya or kulcha,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,zabardast paya or kulcha [ASP] DELIVERY_OVERALL,0,zabardast paya or kulcha asp deliveryoverall,0.7028679,pakistani_pseudo
89,taste was good,FOOD,N/A,,,positive,FOOD,taste was good [ASP] FOOD,2,taste was good asp food,0.9620764,pakistani_pseudo
89,taste was good,SERVICE,N/A,,,positive,SERVICE,taste was good [ASP] SERVICE,2,taste was good asp service,0.79294443,pakistani_pseudo
89,taste was good,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,taste was good [ASP] DELIVERY_OVERALL,2,taste was good asp deliveryoverall,0.9719158,pakistani_pseudo
90,tasteless saalans! pese zaaya karne hon tou inse mangwalen.,FOOD,N/A,,,negative,FOOD,tasteless saalans! pese zaaya karne hon tou inse mangwalen. [ASP] FOOD,0,tasteless saalans pese zaaya karne hon tou inse mangwalen asp food,0.931337,pakistani_pseudo
90,tasteless saalans! pese zaaya karne hon tou inse mangwalen.,SERVICE,N/A,,,negative,SERVICE,tasteless saalans! pese zaaya karne hon tou inse mangwalen. [ASP] SERVICE,0,tasteless saalans pese zaaya karne hon tou inse mangwalen asp service,0.9166443,pakistani_pseudo
90,tasteless saalans! pese zaaya karne hon tou inse mangwalen.,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,tasteless saalans! pese zaaya karne hon tou inse mangwalen. [ASP] DELIVERY_OVERALL,0,tasteless saalans pese zaaya karne hon tou inse mangwalen asp deliveryoverall,0.93025416,pakistani_pseudo
92,nehari kharaab thi bht ghalat baat hai 300rs zaya huay,FOOD,N/A,,,negative,FOOD,nehari kharaab thi bht ghalat baat hai 300rs zaya huay [ASP] FOOD,0,nehari kharaab thi bht ghalat baat hai 300rs zaya huay asp food,0.7680701,pakistani_pseudo
92,nehari kharaab thi bht ghalat baat hai 300rs zaya huay,DELIVERY_OVERALL,N/A,,,negative,DELIVERY_OVERALL,nehari kharaab thi bht ghalat baat hai 300rs zaya huay [ASP] DELIVERY_OVERALL,0,nehari kharaab thi bht ghalat baat hai 300rs zaya huay asp deliveryoverall,0.77411205,pakistani_pseudo
93,normal ðŸ˜‚ðŸ˜‚,SERVICE,N/A,,,neutral,SERVICE,normal ðŸ˜‚ðŸ˜‚ [ASP] SERVICE,1,normal asp service,0.79053134,pakistani_pseudo
93,normal ðŸ˜‚ðŸ˜‚,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,normal ðŸ˜‚ðŸ˜‚ [ASP] DELIVERY_OVERALL,2,normal asp deliveryoverall,0.7104257,pakistani_pseudo
96,Pipping hot and delicious food,FOOD,food,26,30,positive,FOOD,Pipping hot and delicious food [ASP] FOOD,2,pipping hot and delicious food asp food,0.99938655,pakistani_pseudo
96,Pipping hot and delicious food,SERVICE,N/A,,,positive,SERVICE,Pipping hot and delicious food [ASP] SERVICE,2,pipping hot and delicious food asp service,0.9984861,pakistani_pseudo
96,Pipping hot and delicious food,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,Pipping hot and delicious food [ASP] DELIVERY_OVERALL,2,pipping hot and delicious food asp deliveryoverall,0.99939203,pakistani_pseudo
97,"Chowmein Good. 
 
 Boti Roll main Ghr ka paratha use hua tha instead of Poori Paratha, but tastes Ok.",SERVICE,N/A,,,positive,SERVICE,"Chowmein Good. 
 
 Boti Roll main Ghr ka paratha use hua tha instead of Poori Paratha, but tastes Ok. [ASP] SERVICE",2,chowmein good boti roll main ghr ka paratha use hua tha instead of poori paratha but tastes ok asp service,0.75672,pakistani_pseudo
100,"last I had bon bistro years ago and the appetite and portion size is all the same, the flavor is also same delicious",FOOD,N/A,,,positive,FOOD,"last I had bon bistro years ago and the appetite and portion size is all the same, the flavor is also same delicious [ASP] FOOD",2,last i had bon bistro years ago and the appetite and portion size is all the same the flavor is also same delicious asp food,0.9831875,pakistani_pseudo
100,"last I had bon bistro years ago and the appetite and portion size is all the same, the flavor is also same delicious",SERVICE,N/A,,,positive,SERVICE,"last I had bon bistro years ago and the appetite and portion size is all the same, the flavor is also same delicious [ASP] SERVICE",2,last i had bon bistro years ago and the appetite and portion size is all the same the flavor is also same delicious asp service,0.9832208,pakistani_pseudo
100,"last I had bon bistro years ago and the appetite and portion size is all the same, the flavor is also same delicious",DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,"last I had bon bistro years ago and the appetite and portion size is all the same, the flavor is also same delicious [ASP] DELIVERY_OVERALL",2,last i had bon bistro years ago and the appetite and portion size is all the same the flavor is also same delicious asp deliveryoverall,0.983216,pakistani_pseudo
101,nice taste,FOOD,N/A,,,positive,FOOD,nice taste [ASP] FOOD,2,nice taste asp food,0.9700041,pakistani_pseudo
101,nice taste,SERVICE,N/A,,,positive,SERVICE,nice taste [ASP] SERVICE,2,nice taste asp service,0.8614639,pakistani_pseudo
101,nice taste,DELIVERY_OVERALL,N/A,,,positive,DELIVERY_OVERALL,nice taste [ASP] DELIVERY_OVERALL,2,nice taste asp deliveryoverall,0.9770658,pakistani_pseudo
